config,dtype,default(us),cuda1(us),cuda2(us),cuda3(us),triton(us),
b=4|s=128,bf16,53.88,70.81,26.70,26.94,76.77,
b=4|s=256,bf16,55.55,71.29,27.66,26.94,78.92,
b=4|s=512,bf16,56.27,72.48,27.42,30.76,84.16,
b=4|s=1024,bf16,54.60,72.48,30.76,43.39,97.99,
b=4|s=2048,bf16,189.78,78.68,42.92,68.66,143.53,
b=4|s=4096,bf16,613.93,156.64,136.38,130.41,245.81,
b=8|s=128,bf16,53.17,69.86,27.18,28.13,80.11,
b=8|s=256,bf16,54.60,70.10,27.42,30.99,84.16,
b=8|s=512,bf16,55.55,72.96,31.23,43.39,97.75,
b=8|s=1024,bf16,190.02,77.49,42.92,69.14,142.57,
b=8|s=2048,bf16,613.21,158.07,136.38,129.94,245.33,
b=8|s=4096,bf16,1265.76,282.29,262.74,274.18,451.56,
